Feature,Interaction Features,Contribution Importance
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문A3-1) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__건강 관리,-0.012039097029890597
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문A3-9) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__친목도모 증진,0.008915801450803845
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,직업관련 목표지향 평균,0.008721498678753567
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문C2) 귀하께서는 작년(교육이나 학습 프로그램의 참여여부와 관계없이)에 참여하고 싶었지만 참여하지 못했던 평생교육 프로그램이 있었습니까?,-0.00789379001540745
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문A3-2) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__심리적 만족 및 행복감 증대,0.006714480932515815
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문A1-2) 참여한 프로그램 수는 몇개입니까? (2) 성인기초 및 문자해득교육(문해교육),0.005778778393796883
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ6. 귀하께서는 건강에 자신 있습니까?_1,-0.0057367717388891295
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,지역규모별,-0.004966023027396653
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문E1-1) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 책이나 판서 수업 중심으로 공부하는 것이 익숙하고 잘된다.,-0.0042086460908548695
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ10. 귀하는 현재 어떤 직업에 종사하고 계십니까?_3.0,-0.0035117014892020993
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,-0.003469451141457915
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문D1) 귀하께서는 작년에 평생교육 프로그램 관련 정보를 접한 적이 있습니까?,0.0031853528016548157
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문A3-3) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__교양 함양이나 지식 습득 등 자기 계발,-0.003139743774848972
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ1. 귀하의 최종 학력은 어떻게 되십니까?__상태구분_5.0,-0.002680945245541554
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문A2-2) 프로그램 형태__(3)직업능력향상교육_1,-0.002005515491571747
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,학습 지향 평균,0.0019743475551072718
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ6. 귀하께서는 건강에 자신 있습니까?_2,-0.0019432329440683932
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ3. 몇 명과 함께 지내고 있습니까?__명,-0.0018681663834822378
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ1. 귀하의 최종 학력은 어떻게 되십니까?__학교급,-0.0014237358028571735
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,월 가구소득,0.001423157601982806
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문A3-5) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__일하는데 필요한 기능 습득 등,0.0013544530842329934
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ10. 귀하는 현재 어떤 직업에 종사하고 계십니까?_4.0,-0.0013530695448728547
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문F1-4) 다음 학습 관련 질문에 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__직장에서 필요로 하는 기술을 학교에서는 배울 수 없다.,-0.0013350288458575743
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문D1-1) 귀하께서는 평생교육 프로그램 관련 정보를 어떻게 얻으셨습니까? (중복응답)1,0.0011686561272103168
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문A3-8) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__사회참여,-0.0011074710330091207
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,-0.001074711371346946
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ5. 귀하께서는 취학 전의 손자·손녀가 있습니까? (동거여부 무관),-0.0010252243900347648
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문A1-2) 참여한 프로그램 수는 몇개입니까? (3) 직업능력향상교육,-0.0008769710751946874
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문A3-7) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__고용안정,0.0008479214878769433
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ10. 귀하는 현재 어떤 직업에 종사하고 계십니까?_7.0,-0.000792312718105012
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,무형식학습(의존형) 참여,-0.0007195709043203507
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문G1-3) 지난 한 해 동안 동아리에서 활동한 적이 있습니까? 있다면^ 몇 회 정도 참여하셨습니까?__참여횟수,0.0006711285289295321
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ6. 귀하께서는 건강에 자신 있습니까?_3,-0.000603911893513842
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문A3-6) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__성과급^ 연봉 등 소득 증대,-0.0005302102494699762
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,사회참여,0.00038526094783611613
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문A2-10) 프로그램만족도__(3)직업능력향상교육_1,-0.00036414182118259806
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ2. 귀하께서는 자녀가 있으십니까? 있다면^ 귀하의 막내자녀는 현재 어떤 상태입니까?,-0.00028797878547053056
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문A2-7) 자기부담학습비__(3)직업능력향상교육_1,-0.0002803147001966026
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,만 연령,-0.00026514273268260263
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,취약계층,0.00025774134006353335
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문A2-8) 학습비 외부 지원여부__(3)직업능력향상교육_1,-0.00023751916679156556
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ11. 귀하가 현재 소속되어 있는 직장의 규모는 어느 정도입니까? (사업장^ 상시근로자 기준),-0.0002309900049459559
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문A1-2) 참여한 프로그램 수는 몇개입니까? (4) 인문교양교육,-0.0002184027950025703
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,Year,-0.0002098418963950504
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,무형식학습 (암묵적 학습) 참여,0.0002060520513543962
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문A1-2) 참여한 프로그램 수는 몇개입니까? (5) 문화예술스포츠교육,0.00019436606229672712
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__개월,-0.00018951429435674758
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ9-2. 귀하의 현재 근로시간형태는 어떻게 되십니까?,-0.0001882074057599895
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문A2-6) 연간참여시간__(3)직업능력향상교육_1,-0.00017514596800351565
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ7. 귀하의 주된 소득원천은 무엇입니까?_3,-0.00016936511596311944
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문A1-2) 참여한 프로그램 수는 몇개입니까? (6) 시민참여교육,-0.00015924618152982217
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ1. 귀하의 최종 학력은 어떻게 되십니까?__상태구분_3.0,-0.00014310061642028603
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ8. 귀하께서는 현재 수입을 목적으로 일하고 계십니까?,-0.00012606523413011915
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문A3-4) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__취업^ 이직^ 창업에 도움,0.00012261316651182816
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문A2-3) 기관 유형__(3)직업능력향상교육_1,-0.00010550648796046899
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문A2-1) 프로그램 유형__(3)직업능력향상교육_1,-9.721877955710988e-05
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문E1-3) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 혼자서 공부하는 것이 익숙하고 좋다.,8.884907072867861e-05
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,무형식학습(온라인) 참여,8.259415937343937e-05
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ9. 귀하의 현재 고용형태는 어떻게 되십니까?_2.0,7.890178881274709e-05
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,성별,-7.734847143482384e-05
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (3)직업능력향상교육,-7.689090482053523e-05
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문A2-5) 참여목적__(3)직업능력향상교육_1,-7.047890074518745e-05
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ7. 귀하의 주된 소득원천은 무엇입니까?_1,6.961072355864997e-05
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ3. 귀하께서는 함께 동거하는 가족이 있습니까?,-5.936870617528274e-05
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ4. 귀하께서는 부양할 가족이 있습니까? (동거여부 무관),-3.7821863816571654e-05
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (4)인문교양교육,3.609851328071236e-05
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ9-1. 귀하의 현재 종사상 지위는 어떻게 되십니까?,-2.6744518002805526e-05
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ10. 귀하는 현재 어떤 직업에 종사하고 계십니까?_5.0,2.5513529571204405e-05
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문E1-2) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 인터넷강의 또는 컴퓨터(전자책^ 태블릿 PC^스마트폰)를 활용한 학습이 익숙하고 잘된다.,1.7283643476130084e-05
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,연령별(1),-1.4102013692939814e-05
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ10. 귀하는 현재 어떤 직업에 종사하고 계십니까?_1.0,1.3889525684160876e-05
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ10. 귀하는 현재 어떤 직업에 종사하고 계십니까?_2.0,-1.3323734219648375e-05
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ9. 귀하의 현재 고용형태는 어떻게 되십니까?_1.0,-5.964219614539044e-06
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ7. 귀하의 주된 소득원천은 무엇입니까?_5,-5.6472391309507235e-06
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ6. 귀하께서는 건강에 자신 있습니까?_4,-1.2642004570272888e-06
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ10. 귀하는 현재 어떤 직업에 종사하고 계십니까?_8.0,-6.757514609978544e-07
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ1. 귀하의 최종 학력은 어떻게 되십니까?__상태구분_2.0,1.272676638084597e-07
문A3-1) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__건강 관리,학습 지향 평균,0.03214799607849775
문A3-1) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__건강 관리,문A3-3) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__교양 함양이나 지식 습득 등 자기 계발,0.015615811115457517
문A3-1) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__건강 관리,문A3-2) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__심리적 만족 및 행복감 증대,0.013307958308636347
문A3-1) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__건강 관리,문A3-9) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__친목도모 증진,-0.01265868474191137
문A3-1) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__건강 관리,문A2-1) 프로그램 유형__(3)직업능력향상교육_1,-0.012615658880455207
문A3-1) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__건강 관리,문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,-0.01203909702989061
문A3-1) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__건강 관리,문A2-5) 참여목적__(3)직업능력향상교육_1,0.008732620814409781
문A3-1) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__건강 관리,문A3-8) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__사회참여,-0.006015887323489636
문A3-1) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__건강 관리,문E1-4) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 다른 사람들과 함께 공부 하는 것이 좋다.,-0.0052145108648057
문A3-1) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__건강 관리,문A2-2) 프로그램 형태__(3)직업능력향상교육_1,-0.003656839796292854
문A3-1) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__건강 관리,사회참여,0.003046181155309449
문A3-1) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__건강 관리,DQ6. 귀하께서는 건강에 자신 있습니까?_1,-0.0018940526790309237
문A3-1) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__건강 관리,DQ7. 귀하의 주된 소득원천은 무엇입니까?_1,-0.001735718504091478
