Feature,Importance,Contribution Range,Contribution Change (Linear Regression),Contbituion Change (Quantile Regression),Feature,Importance,Contribution Range,Contribution Change (Linear Regression),Contbituion Change (Quantile Regression)
문E1-4) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 다른 사람들과 함께 공부 하는 것이 좋다.,0.030175034109378218,0.47808255769107966,1.0248802314485954,0.0,DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__개월,-0.0071182493724645255,0.13689668671882438,1.5977485580339157,0.873447682605847
문A3-8) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__사회참여,0.13451492638315538,0.4277300546097733,0.8206775178568816,0.0,문A2-7) 자기부담학습비__(3)직업능력향상교육_1,-0.005127745706884861,0.13331425828201646,0.640393279763019,1.1982910732071803
DQ3. 몇 명과 함께 지내고 있습니까?__명,0.16561670509151888,0.35942294918931855,-1.0349674190785432,-0.0696793642259425,DQ9-1. 귀하의 현재 종사상 지위는 어떻게 되십니까?,-0.0028526292317269286,0.08046511462387856,-0.02114204194998358,-0.03576367404632379
문A2-8) 학습비 외부 지원여부__(3)직업능력향상교육_1,0.10955420445764316,0.29950208479493046,-0.18616510123337887,-0.18616510123337887,문A2-3) 기관 유형__(3)직업능력향상교육_1,-0.00016082058323755232,0.07679825607849748,0.017133287855018605,0.01960448794152041
문A3-3) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__교양 함양이나 지식 습득 등 자기 계발,0.10518833733987677,0.2890146500193249,0.49917244837777436,0.3118409595620235,문A2-2) 프로그램 형태__(3)직업능력향상교육_1,-0.000541486872778385,0.07389445772626216,-0.07779524373239687,0.10050918792199001
문D1-1) 귀하께서는 평생교육 프로그램 관련 정보를 어떻게 얻으셨습니까? (중복응답)1,0.021473877830673525,0.2596790044298524,-0.3760681223809418,0.008290328762344092,DQ1. 귀하의 최종 학력은 어떻게 되십니까?__상태구분_3.0,-0.005584006248043106,0.07102584348532742,0.05292015193970153,0.05292015193970153
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.013946361142626535,0.22793896902161703,0.2691373093994622,0.5819311218553229,,,,,
만 연령,0.045994820952136216,0.2075607478038604,0.24196110526522718,0.4799863685955865,,,,,
월 가구소득,0.014222700097131637,0.2005165341531825,0.44477525810475405,0.0,,,,,
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.03715303242871,0.19830989796921844,-2.3280737190135716,-2.316238572049062,,,,,
문A2-1) 프로그램 유형__(3)직업능력향상교육_1,0.0013006041879623435,0.19526190775805186,-0.2591791648291286,0.17552213833573438,,,,,
DQ7. 귀하의 주된 소득원천은 무엇입니까?_1,0.01508428062565495,0.19329630335088308,0.17552751727495816,0.17552751727495816,,,,,
문A1-2) 참여한 프로그램 수는 몇개입니까? (4) 인문교양교육,0.05262042973029334,0.18481091914340408,-0.9089545239195873,-0.5334063810840759,,,,,
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.00035796312901949364,0.1832194305273272,0.840582176505841,-0.16796906320371452,,,,,
문E1-2) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 인터넷강의 또는 컴퓨터(전자책^ 태블릿 PC^스마트폰)를 활용한 학습이 익숙하고 잘된다.,0.006667612671305943,0.17617721911393092,0.26584096358705045,0.0,,,,,
문A1-2) 참여한 프로그램 수는 몇개입니까? (5) 문화예술스포츠교육,0.003443922679951748,0.16106182989589726,0.3717337527419569,-0.19350990544989918,,,,,
문A3-4) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__취업^ 이직^ 창업에 도움,0.03850309442986842,0.15620979269746996,0.12229038281807292,-0.05155792677360124,,,,,
문A3-5) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__일하는데 필요한 기능 습득 등,0.023960780459222064,0.1557297778844492,0.1201151816613432,0.0,,,,,
DQ11. 귀하가 현재 소속되어 있는 직장의 규모는 어느 정도입니까? (사업장^ 상시근로자 기준),0.014038284845161703,0.13675995511665948,4.642454049613508,3.842077980953063,,,,,
문A3-7) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__고용안정,0.0308914885217904,0.1357911715757893,0.13724208734269833,-0.0036866070782450196,,,,,
취약계층,0.023143972613554897,0.1317950654917188,0.03815600162648398,0.020843385469053635,,,,,
무형식학습 (암묵적 학습) 참여,0.009719845289815596,0.10683156645928646,0.09108749561755952,0.09108749561755952,,,,,
문A1-2) 참여한 프로그램 수는 몇개입니까? (6) 시민참여교육,0.006546151383018487,0.06578079804695804,-0.3364561132252843,-1.085749201622307,,,,,
